week,year,day,product,forecast_boxes,actual_boxes,difference,abs_difference,percent_error
24,2025,Mon,All Grain Nova,4,0.0,4.0,4.0,0.0
24,2025,Mon,Lrg 30 pack Nova,482,272.0,210.0,210.0,77.20588235294117
24,2025,Mon,Nova 6 Pack,0,0.0,0.0,0.0,0.0
24,2025,Mon,OC 30 Lrg,29,30.0,-1.0,1.0,3.3333333333333335
24,2025,Mon,OC Br,1,0.0,1.0,1.0,0.0
24,2025,Mon,OC Lg,6,11.0,-5.0,5.0,45.45454545454545
24,2025,Mon,OC Lg Cozy Coop,2,1.0,1.0,1.0,100.0
24,2025,Mon,OC Med,0,1.0,-1.0,1.0,100.0
24,2025,Mon,OC Xlg,1,1.0,0.0,0.0,0.0
24,2025,Mon,XLrg 30 pack Nova,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,nan,0,0.0,0.0,0.0,0.0
24,2025,Mon,pcs,0,0.0,0.0,0.0,0.0
24,2025,Tues,All Grain Nova,0,0.0,0.0,0.0,0.0
24,2025,Tues,Lrg 30 pack Nova,0,0.0,0.0,0.0,0.0
24,2025,Tues,Nova 6 Pack,0,0.0,0.0,0.0,0.0
24,2025,Tues,OC 30 Lrg,82,96.0,-14.0,14.0,14.583333333333334
24,2025,Tues,OC Br,2,2.0,0.0,0.0,0.0
24,2025,Tues,OC Lg,13,18.0,-5.0,5.0,27.77777777777778
24,2025,Tues,OC Lg Cozy Coop,5,1.0,4.0,4.0,400.0
24,2025,Tues,OC Med,1,2.0,-1.0,1.0,50.0
24,2025,Tues,OC Xlg,2,1.0,1.0,1.0,100.0
24,2025,Tues,XLrg 30 pack Nova,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,nan,0,0.0,0.0,0.0,0.0
24,2025,Tues,pcs,0,0.0,0.0,0.0,0.0
24,2025,Wed,All Grain Nova,0,0.0,0.0,0.0,0.0
24,2025,Wed,Lrg 30 pack Nova,0,0.0,0.0,0.0,0.0
24,2025,Wed,Nova 6 Pack,0,0.0,0.0,0.0,0.0
24,2025,Wed,OC 30 Lrg,40,54.0,-14.0,14.0,25.925925925925924
24,2025,Wed,OC Br,13,14.0,-1.0,1.0,7.142857142857142
24,2025,Wed,OC Lg,40,46.0,-6.0,6.0,13.043478260869565
24,2025,Wed,OC Lg Cozy Coop,0,0.0,0.0,0.0,0.0
24,2025,Wed,OC Med,0,0.0,0.0,0.0,0.0
24,2025,Wed,OC Xlg,10,14.0,-4.0,4.0,28.57142857142857
24,2025,Wed,XLrg 30 pack Nova,0,0.0,0.0,0.0,0.0
24,2025,Wed,nan,0,0.0,0.0,0.0,0.0
24,2025,Wed,nan,0,0.0,0.0,0.0,0.0
24,2025,Wed,nan,0,0.0,0.0,0.0,0.0
24,2025,Wed,nan,0,0.0,0.0,0.0,0.0
24,2025,Wed,nan,0,0.0,0.0,0.0,0.0
24,2025,Wed,nan,0,0.0,0.0,0.0,0.0
24,2025,Wed,nan,0,0.0,0.0,0.0,0.0
24,2025,Wed,nan,0,0.0,0.0,0.0,0.0
24,2025,Wed,nan,0,0.0,0.0,0.0,0.0
24,2025,Wed,nan,0,0.0,0.0,0.0,0.0
24,2025,Wed,nan,0,0.0,0.0,0.0,0.0
24,2025,Wed,nan,0,0.0,0.0,0.0,0.0
24,2025,Wed,nan,0,0.0,0.0,0.0,0.0
24,2025,Wed,nan,0,0.0,0.0,0.0,0.0
