product,forecast_boxes,file,day,actual_boxes,week_num,year,abs_error,pct_error
All Grain Nova,14,Week 33 Loading Slip 2025.xlsx,Mon,19.0,33.0,2025.0,5.0,26.31578947368421
Lrg 30 pack Nova,435,Week 33 Loading Slip 2025.xlsx,Mon,1480.0,33.0,2025.0,1045.0,70.6081081081081
Nova 6 Pack,3,Week 33 Loading Slip 2025.xlsx,Mon,4.0,33.0,2025.0,1.0,25.0
Nova Jumbo,24,Week 33 Loading Slip 2025.xlsx,Mon,24.0,33.0,2025.0,0.0,0.0
Wal GV Lg,422,Week 33 Loading Slip 2025.xlsx,Mon,645.0,33.0,2025.0,223.0,34.57364341085271
Wal GV Xlrg,172,Week 33 Loading Slip 2025.xlsx,Mon,240.0,33.0,2025.0,68.0,28.333333333333332
Wal Nova 18's Lg,279,Week 33 Loading Slip 2025.xlsx,Mon,850.0,33.0,2025.0,571.0,67.17647058823529
Wal Nova Brn,34,Week 33 Loading Slip 2025.xlsx,Mon,30.0,33.0,2025.0,4.0,13.333333333333334
Wal Nova Xlg Brn,4,Week 33 Loading Slip 2025.xlsx,Mon,2.0,33.0,2025.0,2.0,100.0
XLrg 30 pack Nova,19,0,0,0.0,0.0,0.0,19.0,100.0
